603877	29.86
603868	62.97
603839	22.85
603833	145.72
603808	21.66
603517	37.36
603037	25.05
002074	22.68
601595	19.33
601318	70.51
601127	20.07
002684	15.41
600977	17.14
600718	13.43
600699	30.91
600690	20.33
002444	12.75
600519	739.85
600516	27.02
600499	10.03
600466	10.28
002594	64.23
600398	12.38
600030	18.34
300685	108.3
300676	166.22
300323	19.35
300144	19.9
300136	40.17
300115	21.53
300532	26.86
300082	6.76
300027	9.75
300017	13.34
002925	95.35
002920	37.69
002918	46.93
002901	34.33
002891	33.59
002883	50.52
002859	32.33
002833	56.8
002821	66.9
002768	25.24
002713	27.28
002695	16.31
002681	10.6
002677	17.73
002635	23.97
002612	12.9
002597	26.58
002572	34.94
002564	8.25
002563	10.5
002517	20.0
002466	61.8
002460	79.0
002415	41.66
002402	9.42
002396	22.4
002354	18.78
002343	38.29
002327	11.52
002310	19.45
002292	12.47
603338	69.7
002245	9.47
002241	15.08
002230	61.5
002228	4.21
002183	7.12
002174	22.8
002146	10.65
002139	10.63
002048	20.02
002043	11.66
002029	9.55
002027	14.22
002024	13.3
002019	21.41
000961	7.22
000858	76.87
000786	25.35
000732	29.13
000725	5.79
000710	46.33
000681	25.69
000671	8.42
000651	53.42
000423	61.38
000333	59.69
000002	32.63
603898	29.35
603886	18.6
603757	54.83
603728	20.5
603686	24.9
603660	37.02
603611	20.76
603605	27.58
603579	64.8
603533	38.44
603518	22.89
603466	53.98
603387	54.51
603345	26.13
603337	49.94
603326	18.94
603313	25.01
603203	38.64
603179	36.12
603027	17.57
601997	14.59
601966	18.88
601155	37.32
601012	36.09
600703	25.48
600702	40.82
600667	7.59
600645	24.31
000826	29.13
600487	38.6
600340	35.38
600297	7.9
600172	8.81
300729	28.21
300709	59.02
300673	45.7
300657	36.58
300642	99.4
300616	203.38
300595	56.93
300512	16.18
300488	30.8
300484	18.22
300458	21.35
300438	25.84
300422	15.0
300415	15.61
300349	37.86
300335	15.58
300327	26.91
300296	22.9
300274	17.26
300271	18.42
300262	7.99
300259	9.56
300236	34.12
300232	16.61
300207	11.67
300182	10.49
300122	31.18
300113	22.5
300097	24.85
300072	33.01
300014	18.6
603283	27.73
